Timestamp;		 Model;OuterFold;InnerFold;HPset;Epoch;TrainLoss;TrainAcc;ValLoss;ValAcc;AUC;EMA_ValLoss;LR;NoImprove;LrDrop;EsTriggered;BestValLoss;BestEpoch
09/02/25 - 10:43 ;		 MultiViewCNN;1;1;4;9;0.6497924616259914;0.6451612903225806;0.6406506857564372;0.6129032258064516;0.76890756302521;0.6507298738840888;0.0002;0;0;0;0.6406506857564372;9
09/02/25 - 10:43 ;		 MultiViewCNN;1;1;4;10;0.6474353401891647;0.6935483870967742;0.6378421360446561;0.6129032258064516;0.7584033613445378;0.6468635525322589;0.0002;0;0;0;0.6378421360446561;10
09/02/25 - 10:44 ;		 MultiViewCNN;1;1;4;11;0.629738453895815;0.7580645161290323;0.6340245412242028;0.6774193548387096;0.7605042016806722;0.6430118491398421;0.0002;0;0;0;0.6340245412242028;11
09/02/25 - 10:44 ;		 MultiViewCNN;1;1;4;12;0.6194019913673401;0.7419354838709677;0.6301909992771764;0.6774193548387096;0.7647058823529411;0.6391655941810424;0.0002;0;0;0;0.6301909992771764;12
09/02/25 - 10:45 ;		 MultiViewCNN;1;1;4;13;0.6321003187087274;0.6935483870967742;0.6265443659597828;0.7096774193548387;0.7815126050420167;0.6353792257146644;0.0002;0;0;0;0.6265443659597828;13
09/02/25 - 10:45 ;		 MultiViewCNN;1;1;4;14;0.6133364342874096;0.7258064516129032;0.623649695227223;0.7096774193548387;0.7857142857142856;0.6318603665684319;0.0002;0;0;0;0.623649695227223;14
09/02/25 - 10:46 ;		 MultiViewCNN;1;1;4;15;0.6100666926753137;0.6935483870967742;0.6215239744032582;0.7419354838709677;0.7899159663865547;0.6287594489188797;0.0002;0;0;0;0.6215239744032582;15
09/02/25 - 10:46 ;		 MultiViewCNN;1;1;4;16;0.6092881829507889;0.7580645161290323;0.6182254764341539;0.7419354838709677;0.7941176470588234;0.6255992571734619;0.0002;0;0;0;0.6182254764341539;16
09/02/25 - 10:47 ;		 MultiViewCNN;1;1;4;17;0.6041084893288151;0.7258064516129032;0.6149674269460863;0.7419354838709677;0.8025210084033614;0.6224097081052492;0.0002;0;0;0;0.6149674269460863;17
09/02/25 - 10:48 ;		 MultiViewCNN;1;1;4;18;0.6046106661519697;0.7258064516129032;0.6093623580471161;0.7419354838709677;0.7983193277310925;0.6184955030878092;0.0002;0;0;0;0.6093623580471161;18
09/02/25 - 10:48 ;		 MultiViewCNN;1;1;4;19;0.5769164119997332;0.7741935483870968;0.6061515346650155;0.7741935483870968;0.7983193277310925;0.6147923125609711;0.0002;0;0;0;0.6061515346650155;19
09/02/25 - 10:49 ;		 MultiViewCNN;1;1;4;20;0.60037144730168;0.7258064516129032;0.6041497184384254;0.7419354838709677;0.8025210084033614;0.6115995343242073;0.0002;0;0;0;0.6041497184384254;20
09/02/25 - 10:49 ;		 MultiViewCNN;1;1;4;21;0.600638166550667;0.6290322580645161;0.6012098404668993;0.7096774193548387;0.8025210084033614;0.6084826261670149;0.0002;0;0;0;0.6012098404668993;21
09/02/25 - 10:50 ;		 MultiViewCNN;1;1;4;22;0.5788792429431793;0.7419354838709677;0.6063770940226894;0.7096774193548387;0.8025210084033613;0.6078509665237172;0.0002;1;0;0;0.6012098404668993;21
09/02/25 - 10:50 ;		 MultiViewCNN;1;1;4;23;0.5769650686171747;0.7258064516129032;0.6053743352813106;0.6774193548387096;0.8109243697478992;0.6071079771509952;0.0002;2;0;0;0.6012098404668993;21
09/02/25 - 10:51 ;		 MultiViewCNN;1;1;4;24;0.5437768370874466;0.8709677419354839;0.6056530504457412;0.6774193548387096;0.8151260504201681;0.606671499139419;0.0001;3;1;0;0.6012098404668993;21
09/02/25 - 10:51 ;		 MultiViewCNN;1;1;4;25;0.5845545299591557;0.7580645161290323;0.5932901838133412;0.7419354838709677;0.8277310924369748;0.6026571045415956;0.0001;0;0;0;0.5932901838133412;25
09/02/25 - 10:52 ;		 MultiViewCNN;1;1;4;26;0.5439672835411564;0.8387096774193549;0.5805930639466932;0.6774193548387096;0.819327731092437;0.5960378923631249;0.0001;0;0;0;0.5805930639466932;26
09/02/25 - 10:52 ;		 MultiViewCNN;1;1;4;27;0.5401101650730256;0.8225806451612904;0.579834783269513;0.6774193548387096;0.8361344537815125;0.5911769596350414;0.0001;0;0;0;0.579834783269513;27
09/02/25 - 10:53 ;		 MultiViewCNN;1;1;4;28;0.5452890799891564;0.8225806451612904;0.573605872931019;0.7096774193548387;0.819327731092437;0.5859056336238346;0.0001;0;0;0;0.573605872931019;28
09/02/25 - 10:54 ;		 MultiViewCNN;1;1;4;29;0.5609210268143685;0.7258064516129032;0.5801420077200858;0.7096774193548387;0.8235294117647058;0.58417654585271;0.0001;1;0;0;0.573605872931019;28
09/02/25 - 10:54 ;		 MultiViewCNN;1;1;5;0;0.6979883274724407;0.46774193548387094;0.6972183719758065;0.45161290322580644;0.39915966386554624;0.6972183719758065;0.0002;0;0;0;0.6972183719758065;0
09/02/25 - 10:55 ;		 MultiViewCNN;1;1;5;1;0.6791924641978356;0.5645161290322581;0.6939716742884728;0.45161290322580644;0.6344537815126051;0.6962443626696063;0.0002;1;0;0;0.6972183719758065;0
09/02/25 - 10:55 ;		 MultiViewCNN;1;1;5;2;0.6953716585713048;0.4032258064516129;0.6879898328934947;0.6451612903225806;0.726890756302521;0.6937680037367728;0.0002;0;0;0;0.6879898328934947;2
